month,n_wt,n_ctrl,delta_wt,delta_ctrl,diff_K,spearman,bin_none,bin_0-10 m,bin_10-30 m,bin_30-60 m,bin_>60 m
2017-11,2057,15326,0.04588117450475693,0.03108295239508152,0.014798222109675407,-0.04809767706506746,0.03108295239508152,-0.07052743434906006,-0.04982145130634308,0.05217472091317177,0.25379320979118347
2018-01,2079,15320,-0.01887841708958149,0.04241291433572769,-0.06129132956266403,-0.05942069256117648,0.04241291433572769,-0.06369023025035858,-0.07601448148488998,-0.008488542400300503,-0.05586768686771393
2018-02,2082,15136,-0.0011953561333939433,0.02814473770558834,-0.029340093955397606,-0.04063759795239662,0.02814473770558834,-0.04973980411887169,-0.048849526792764664,0.009098349139094353,0.07989522814750671
2018-03,2087,15360,0.23524118959903717,-0.01509194727987051,0.25033313035964966,0.03622149860837085,-0.01509194727987051,-0.04851479083299637,0.02886306121945381,0.24441035091876984,0.8519403338432312
2018-04,2087,15360,-0.15941138565540314,0.04552051052451134,-0.20493189990520477,-0.030787604667945088,0.04552051052451134,-0.04006590321660042,-0.08303274214267731,-0.16739940643310547,-0.1795300543308258
2018-05,2087,15360,0.01574067957699299,0.059757016599178314,-0.044016338884830475,-0.014025373966585274,0.059757016599178314,-0.11552208662033081,-0.10716775059700012,-0.004913617856800556,0.4927738606929779
2018-06,2087,15360,-0.4036569893360138,0.19178010523319244,-0.5954371094703674,-0.10417996370265256,0.19178010523319244,-0.21640999615192413,-0.3876214027404785,-0.41446277499198914,-0.20681875944137573
2018-07,2087,15360,-0.22155025601387024,0.1402774602174759,-0.3618277311325073,-0.0543674106650647,0.1402774602174759,-0.19269438087940216,-0.251149982213974,-0.24472837150096893,0.10581304132938385
2018-08,2087,15360,-0.28079336881637573,0.1261138916015625,-0.40690726041793823,0.006957317491999814,0.1261138916015625,-0.15544132888317108,-0.2062908113002777,-0.3604702949523926,-0.06334984302520752
2018-09,2087,15360,-0.33885297179222107,0.1793927550315857,-0.5182456970214844,-0.06838752483288685,0.1793927550315857,-0.22542773187160492,-0.31603649258613586,-0.3527248203754425,-0.2732437252998352
2018-10,2087,15360,-0.16174544394016266,0.07789456844329834,-0.239640012383461,-0.09863345200933743,0.07789456844329834,-0.08771517127752304,-0.15196910500526428,-0.1639406681060791,-0.16091611981391907
2018-11,2087,15231,0.013259010389447212,0.03202382102608681,-0.018764810636639595,-0.07586320518770322,0.03202382102608681,-0.05894269794225693,-0.059521861374378204,0.023458896204829216,0.14217807352542877
2019-01,2079,15320,-0.01887841708958149,0.04241291433572769,-0.06129132956266403,-0.05942069256117648,0.04241291433572769,-0.06369023025035858,-0.07601448148488998,-0.008488542400300503,-0.05586768686771393
2019-02,2087,15360,-0.19356806576251984,0.06381554901599884,-0.2573836147785187,-0.1277090902903421,0.06381554901599884,-0.05397471413016319,-0.11725457012653351,-0.2000064253807068,-0.40639084577560425
2019-03,2025,15227,-0.11601384729146957,0.132197767496109,-0.24821162223815918,-0.0930789791163609,0.132197767496109,-0.20426924526691437,-0.2505367398262024,-0.03642470762133598,0.03007493168115616
2019-04,2087,15360,-0.13779833912849426,0.07734322547912598,-0.21514156460762024,0.00299488124721294,0.07734322547912598,-0.10673397034406662,-0.13016730546951294,-0.13733823597431183,-0.01101419236510992
2019-05,2087,15360,-0.32790669798851013,0.12139420956373215,-0.4493009150028229,-0.09219349854632344,0.12139420956373215,-0.12347467988729477,-0.2162119597196579,-0.3533537685871124,-0.4550287127494812
