site,kind,ym,vh
R13,intact,2017-09,-15.305416107177734
R13,damaged,2017-10,-14.39681339263916
R13,intact,2017-10,-14.799361228942871
R13,damaged,2017-11,-14.107355117797852
R13,intact,2017-11,-14.464858055114746
R13,damaged,2017-12,-14.325428009033203
R13,intact,2017-12,-14.692028999328613
R13,damaged,2018-01,-14.394889831542969
R13,intact,2018-01,-14.726408004760742
R13,damaged,2018-02,-15.661419868469238
R13,intact,2018-02,-16.0672550201416
R13,damaged,2018-03,-15.19460678100586
R13,intact,2018-03,-15.586824417114258
R13,damaged,2018-04,-14.20738697052002
R13,intact,2018-04,-14.562926292419434
R13,damaged,2018-05,-14.786200523376465
R13,intact,2018-05,-15.148237228393555
R13,damaged,2018-06,-14.806804656982422
R13,intact,2018-06,-15.165499687194824
R13,damaged,2018-07,-14.830364227294922
R13,intact,2018-07,-15.154727935791016
R13,damaged,2018-08,-15.006084442138672
R13,intact,2018-08,-15.348361015319824
R13,damaged,2018-09,-15.298056602478027
R13,intact,2018-09,-15.690301895141602
R13,damaged,2018-10,-15.508784294128418
R13,intact,2018-10,-15.828277587890625
R13,damaged,2018-11,-15.120002746582031
R13,intact,2018-11,-15.433178901672363
R13,damaged,2018-12,-14.645940780639648
R13,intact,2018-12,-14.923797607421875
R13,damaged,2019-01,-15.229042053222656
R13,intact,2019-01,-15.458767890930176
R13,damaged,2019-02,-14.960137367248535
R13,intact,2019-02,-15.168200492858887
R13,damaged,2019-03,-14.780716896057129
R13,intact,2019-03,-14.986875534057617
R13,damaged,2019-04,-15.178674697875977
R13,intact,2019-04,-15.28085708618164
R13,damaged,2019-05,-15.488885879516602
R13,intact,2019-05,-15.566043853759766
R13,damaged,2019-06,-14.885170936584473
R13,intact,2019-06,-14.929936408996582
R13,damaged,2019-07,-15.16855239868164
R13,intact,2019-07,-15.250279426574707
R13,damaged,2019-08,-15.273600578308105
R13,intact,2019-08,-15.266901016235352
R13,damaged,2019-09,-15.449585914611816
R13,intact,2019-09,-15.59563159942627
R13,damaged,2019-10,-15.163630485534668
R13,intact,2019-10,-15.328279495239258
R13,damaged,2019-11,-14.782450675964355
R13,intact,2019-11,-14.948678970336914
R13,damaged,2019-12,-14.871312141418457
R13,intact,2019-12,-14.985634803771973
R13,damaged,2020-01,-15.11837100982666
R13,intact,2020-01,-15.227203369140625
R13,damaged,2020-02,-14.680391311645508
R13,intact,2020-02,-14.764841079711914
R13,damaged,2020-03,-15.118074417114258
R13,intact,2020-03,-15.139971733093262
R13,damaged,2020-04,-15.304617881774902
R13,intact,2020-04,-15.183258056640625
R13,damaged,2020-05,-15.623897552490234
R13,intact,2020-05,-15.515594482421875
R13,damaged,2020-06,-15.186197280883789
R13,intact,2020-06,-15.121809005737305
R13,damaged,2020-07,-15.450758934020996
R13,intact,2020-07,-15.358410835266113
R13,damaged,2020-08,-15.321823120117188
R13,intact,2020-08,-15.223523139953613
R13,damaged,2020-09,-15.60195541381836
R13,intact,2020-09,-15.533211708068848
R13,damaged,2020-10,-15.258633613586426
R13,intact,2020-10,-15.306577682495117
R13,damaged,2020-11,-15.102293014526367
R13,intact,2020-11,-15.151473045349121
R13,damaged,2020-12,-15.277942657470703
R13,intact,2020-12,-15.376916885375977
R13,damaged,2021-01,-15.478581428527832
R13,intact,2021-01,-15.569799423217773
R13,damaged,2021-02,-15.922635078430176
R13,intact,2021-02,-15.929522514343262
R13,damaged,2021-03,-15.5880126953125
R13,intact,2021-03,-15.559846878051758
R13,damaged,2021-04,-15.28947639465332
R13,intact,2021-04,-15.1779146194458
R13,damaged,2021-05,-15.24458122253418
R13,intact,2021-05,-15.094573974609375
R13,damaged,2021-06,-15.440678596496582
R13,intact,2021-06,-15.256868362426758
R13,damaged,2021-07,-15.313664436340332
R13,intact,2021-07,-15.111603736877441
R13,damaged,2021-08,-15.494321823120117
R13,intact,2021-08,-15.297883987426758
R13,damaged,2021-09,-15.743782043457031
R13,intact,2021-09,-15.614742279052734
R13,damaged,2021-10,-15.90363883972168
R13,intact,2021-10,-15.822663307189941
R13,damaged,2021-11,-15.08314037322998
R13,intact,2021-11,-15.080293655395508
R13,damaged,2021-12,-15.41182804107666
R13,intact,2021-12,-15.353250503540039
R13,damaged,2022-01,-15.268494606018066
R13,intact,2022-01,-15.231488227844238
R13,damaged,2022-02,-15.15912914276123
R13,intact,2022-02,-15.092267036437988
R13,damaged,2022-03,-15.84177017211914
R13,intact,2022-03,-15.657614707946777
R13,damaged,2022-04,-15.465418815612793
R13,intact,2022-04,-15.187439918518066
R13,damaged,2022-05,-15.438164710998535
R13,intact,2022-05,-15.170442581176758
R13,damaged,2022-06,-15.653692245483398
R13,intact,2022-06,-15.380681037902832
R13,damaged,2022-07,-15.492494583129883
R13,intact,2022-07,-15.299113273620605
R13,damaged,2022-08,-15.548672676086426
R13,intact,2022-08,-15.340047836303711
R13,damaged,2022-09,-15.633735656738281
R13,intact,2022-09,-15.555997848510742
R13,damaged,2022-10,-15.578510284423828
R13,intact,2022-10,-15.525472640991211
R13,damaged,2022-11,-15.132461547851562
R13,intact,2022-11,-15.204559326171875
R13,damaged,2022-12,-15.405531883239746
R13,intact,2022-12,-15.482417106628418
R13,damaged,2023-01,-15.023871421813965
R13,intact,2023-01,-14.9700927734375
R13,damaged,2023-02,-15.801000595092773
R13,intact,2023-02,-15.720779418945312
R13,damaged,2023-03,-15.135769844055176
R13,intact,2023-03,-15.032392501831055
R13,damaged,2023-04,-15.256643295288086
R13,intact,2023-04,-15.044195175170898
R13,damaged,2023-05,-15.669987678527832
R13,intact,2023-05,-15.348821640014648
R13,damaged,2023-06,-15.577059745788574
R13,intact,2023-06,-15.293923377990723
R13,damaged,2023-07,-15.50797176361084
R13,intact,2023-07,-15.209222793579102
R13,damaged,2023-08,-15.387076377868652
R13,intact,2023-08,-15.139201164245605
R13,damaged,2023-09,-15.867507934570312
R13,intact,2023-09,-15.550063133239746
R13,damaged,2023-10,-15.63499927520752
R13,intact,2023-10,-15.50436019897461
R13,damaged,2023-11,-15.45880126953125
R13,intact,2023-11,-15.421065330505371
R13,damaged,2023-12,-14.802976608276367
R13,intact,2023-12,-14.853472709655762
R13,damaged,2024-01,-15.942398071289062
R13,intact,2024-01,-15.853221893310547
R13,damaged,2024-02,-14.631925582885742
R13,intact,2024-02,-14.533111572265625
R13,damaged,2024-03,-15.356698036193848
R13,intact,2024-03,-15.122636795043945
R13,damaged,2024-04,-15.307822227478027
R13,intact,2024-04,-14.93519401550293
R13,damaged,2024-05,-15.631404876708984
R13,intact,2024-05,-15.347406387329102
R13,damaged,2024-06,-15.641536712646484
R13,intact,2024-06,-15.401182174682617
R13,damaged,2024-07,-15.430765151977539
R13,intact,2024-07,-15.160065650939941
R13,damaged,2024-08,-15.587315559387207
R13,intact,2024-08,-15.336214065551758
R13,damaged,2024-09,-15.686314582824707
R13,intact,2024-09,-15.503003120422363
R13,damaged,2024-10,-15.96456527709961
R13,intact,2024-10,-15.853208541870117
R13,damaged,2024-11,-15.203771591186523
R13,intact,2024-11,-15.232959747314453
R13,damaged,2024-12,-14.771273612976074
R13,intact,2024-12,-14.864911079406738
R13,damaged,2025-01,-15.20383071899414
R13,intact,2025-01,-15.191274642944336
R13,damaged,2025-02,-16.61983871459961
R13,intact,2025-02,-16.4444522857666
R13,damaged,2025-03,-15.827954292297363
R13,intact,2025-03,-15.501880645751953
R13,damaged,2025-04,-15.768926620483398
R13,intact,2025-04,-15.404037475585938
R13,damaged,2025-05,-16.239015579223633
R13,intact,2025-05,-15.910297393798828
R13,damaged,2025-06,-15.708234786987305
R13,intact,2025-06,-15.408854484558105
R13,damaged,2025-07,-15.477404594421387
R13,intact,2025-07,-15.017745018005371
R13,damaged,2025-08,-16.11507225036621
R13,intact,2025-08,-15.440750122070312
R13,damaged,2025-09,-16.18347930908203
R13,intact,2025-09,-15.623868942260742
R13,damaged,2025-10,-16.000856399536133
R13,intact,2025-10,-15.70616626739502
R13,damaged,2025-11,-15.576519966125488
R13,intact,2025-11,-15.270125389099121
R13,damaged,2025-12,-15.673552513122559
R13,intact,2025-12,-15.396937370300293
R13,damaged,2026-01,-17.4339542388916
R13,intact,2026-01,-16.82575035095215
